КОШКИ	17												
		Стоимость/сутки	размеры номера (ширина-глубина-высота)	высота, М	что входит в стоимость	кол-во номеров	примечания	ДОП. УСЛУГИ*					
	СТАНДАРТ	850	100*80*80	0.8	"миски
лежанка
когтеточка
лоток
наполнитель (древесный)
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
игровая зона"	9	для 1-ой кошки	"поилка-фонтанчик +100 руб./сутки
свежая травка +50 руб./сутки
наполнитель селикагель + 60 руб./сутки
активный выгул на улице 20 мин + 250 руб./сутки
зоотакси - от 1500 руб. в пределах МКАД** **(возможность оказания услуги и точная стоимость услуги согласовывается индивидульно с администратором не позднее, чем за 1 сутки до заезда)
заселение вне рабочего времени возможно по индивидуальному согласованию с администратором за дополнительную плату"					
	УЛУЧШЕННЫЙ (двухуровневый)	"1050*

+30% за 2-ого питомца"	100*80*130	1.3	"миски
лежанка
когтеточка
лоток
наполнитель (древесный)
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
игровая зона"	4	можно поселить 2-х кошек. +30% к базовой стоимости						
	КОМФОРТ (двухуровневый)	"1250*

+30% за 2-ого питомца"	140*80*130	1.3	"миски
лежанка
когтеточка
лоток
наполнитель (древесный)
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
игровая зона"	4	можно поселить 2-х кошек. +30% к базовой стоимости						


СОБАКИ	23												
		Стоимость/сутки	размеры номера (ширина-глубина-высота)	высота, М	что входит в стоимость	кол-во номеров	примечания	ДОП. УСЛУГИ*					
	СТАНДАРТ	1350	100*80*90	0.9	"миски
лежанка
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
одноразовые пеленки"	12	декоративные породы собак весом до 5 кг	"активный выгул на улице 20 мин + 250 руб./выгул
зоотакси - от 1500 руб. в пределах МКАД** **(возможность оказания услуги и точная стоимость услуги согласовывается индивидульно с администратором не позднее, чем за 1 сутки до заезда)
заселение вне рабочего времени возможно по индивидуальному согласованию с администратором за дополнительную плату"					
	УЛУЧШЕННЫЙ	1690	100*80*140	1.4	"миски
лежанка
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
полотенце
гигиенический выгул 2 раза/день 15 мин
мытье лап"	2	малые породы собак весом до 10 кг						
	КОМФОРТ (номера на 2-м этаже)	"1890*

+500 за 2-ого питомца"	140*80*140	1.4	"миски
лежанка
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение и освещение
фото/видео-отчет
полотенце
гигиенический выгул 2 раза/день 15 мин
мытье лап"	4	"малые породы собак весом до 10 кг
можно поселить 2-х собак"						
	КОМФОРТ+ (номера на 1-м этаже)	"2190*

+500 за 2-ого питомца"	140*80*140	1.4	"миски
лежанка
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
полотенце
гигиенический выгул 2 раза/день 15 мин
мытье лап"	4	"средние породы до 20 кг
можно поселить 2-х собак"						
	ЛЮКС	"2490*

+500 за 2-ого питомца"	170*100*300	3	"миски
лежанка
питьевая вода
кормление по вашему графику
индивидуальная вентиляция и освещение
фото/видео-отчет
полотенце
гигиенический выгул 2 раза/день 15 мин
мытье лап"	1	"средние породы до 20 кг
можно поселить 2-х собак"						

